date,Daily Top20,Weekly Top20,Weekly Buffer 20/25,Weekly Score50 MADScale,Biweekly Score50 MADScale,Weekly Score50 RegimeState,Weekly Score50 Rotation,Weekly Score50 RangeOsc,Biweekly Score50 RegimeState,Biweekly Score50 Rotation,Biweekly Score50 RangeOsc
2023-02-10,1.0148734758401299,1.0378270342432363,1.0378270342432363,1.066420161367457,1.0743741865496421,1.0433606696562858,1.0435828661595143,1.0433606696562858,1.0192193703146797,1.0185507653527592,1.0192193703146797
2023-02-13,1.0140615770594577,1.0378270342432363,1.0378270342432363,1.068982280912975,1.0769554159771026,1.0450452194796966,1.0452677747285548,1.0450452194796966,1.0200048106958373,1.0193356904872963,1.0200048106958373
2023-02-14,1.020221593674888,1.0378270342432363,1.0378270342432363,1.0764601053976373,1.0844890147301198,1.0479108200825695,1.048133985596365,1.0479108200825695,1.0227207865422874,1.0220498846614388,1.0227207865422874
2023-02-15,1.0071963739790117,1.0378270342432363,1.0378270342432363,1.0606366642598757,1.0685475525216415,1.04688372940272,1.0471066761849068,1.04688372940272,1.0201711138108749,1.0195018845079709,1.0201711138108749
2023-02-16,1.0063906168798284,1.0378270342432363,1.0378270342432363,1.0638680627460093,1.0718030527885398,1.0528946895285265,1.053118916418695,1.0528946895285265,1.0265493588952557,1.0258759454820061,1.0265493588952557
2023-02-17,0.9971254031185683,1.0378270342432363,1.0378270342432363,1.053991150884612,1.061852472772213,1.0492147081311618,1.049438151323974,1.0492147081311618,1.0229511690104636,1.0222801159993817,1.0229511690104636
2023-02-20,1.0002101757274189,1.0402259979693043,1.0402259979693043,1.0573737550627986,1.0652603065173087,1.0494601486490351,1.049683644111428,1.0494601486490351,1.0231182663624145,1.0224471037359526,1.0231182663624145
2023-02-21,1.0022012316226614,1.0422967108613572,1.0422967108613572,1.0599955253922748,1.067901631641394,1.048242841231188,1.0484660774529753,1.048242841231188,1.0219315138624923,1.0212611297422411,1.0219315138624923
2023-02-22,0.9893182736120176,1.0288983390204864,1.0288983390204864,1.0467110162051823,1.0545180383180155,1.0436427956831984,1.0438650522686383,1.0436427956831984,1.017446931353756,1.0167794891066726,1.017446931353756
2023-02-23,0.992593442646328,1.0327758725179461,1.0327758725179461,1.0532277454371928,1.0610833733719098,1.0444858893419988,1.044708325474616,1.0444858893419988,1.018268863014223,1.0176008815823454,1.018268863014223
2023-02-24,0.9856676397827926,1.0246826840015888,1.0246826840015888,1.047004497881492,1.0548137089632967,1.0444418945489762,1.0446643213123603,1.0444418945489762,1.0182259725086384,1.0175580192128089,1.0182259725086384
2023-02-27,0.9876179288571075,1.026660073012159,1.026660073012159,1.045175616995079,1.052971187145145,1.0450905542992124,1.0453131192026783,1.0450905542992124,1.0182846921126933,1.0176167002969732,1.0182846921126933
2023-02-28,0.9906849596874207,1.0298483485630328,1.0298483485630328,1.0411432868777672,1.0489087814005544,1.0463739439526347,1.0465967821697317,1.0463739439526347,1.0195307133057887,1.018861904103766,1.0195307133057887
2023-03-02,0.9850046553015347,1.023943492499622,1.023943492499622,1.0335190204915943,1.0412276484911964,1.0407829251519551,1.0410045726927473,1.0407829251519551,1.0150381966386637,1.0143723345145936,1.0150381966386637
