Date,GrossDailyReturn,NetDailyReturn,TurnoverOneWay,CostApplied,GrossNAV,NetNAV
2024-06-26,-0.010352831828591424,-0.01035283182859148,0.0,0.0,2.4222355511263864,2.3951334293248046
2024-06-27,0.005013525711380496,0.005013525711380584,0.0,0.0,2.434379491340979,2.4071414923549117
2024-06-28,-0.01067244523090346,-0.010672445230903493,0.0,0.0,2.4083987095484076,2.3814514066147185
2024-07-01,-0.006619175858753957,-0.006619175858753934,0.0,0.0,2.3924570949519106,2.365688160955259
2024-07-02,0.008357099716221061,0.008357099716221006,0.0,0.0,2.4124510974612043,2.3854584528138454
2024-07-03,0.016690762739027542,0.016690762739027587,0.0,0.0,2.452716746348436,2.425273573873569
2024-07-05,0.011834093427471947,0.011834093427471881,0.0,0.0,2.4817424254758484,2.4539744879339676
2024-07-08,-0.0019496022607066957,-0.0019496022607067287,0.0,0.0,2.476904014832649,2.4491902137245747
2024-07-09,-0.0025859051895788967,-0.0025859051895789076,0.0,0.0,2.4704989758866045,2.4428568400406383
2024-07-10,0.009969891558624067,0.009969891558624155,0.0,0.0,2.495129582771886,2.4672118578290867
2024-07-11,0.006817148606414025,0.006817148606414136,0.0,0.0,2.5121392519299017,2.4840312077074147
2024-07-12,0.007690978104964341,0.00769097810496433,0.0,0.0,2.5314600599131163,2.5031358373379407
2024-07-15,-0.008842497929318615,-0.008842497929318571,0.0,0.0,2.509075629575182,2.481001863879477
2024-07-16,0.013381380730287839,0.013381380730287828,0.0,0.0,2.5426505258556142,2.514201094412602
2024-07-17,-0.009679761470309502,-0.009679761470309467,0.0,0.0,2.518038275262975,2.489864227530297
2024-07-18,-0.012318911094688747,-0.012318911094688745,0.0,0.0,2.487018785616987,2.4591918114735054
2024-07-19,-0.012545554013970728,-0.012545554013970728,0.0,0.0,2.455817757108269,2.42833988777195
2024-07-22,0.006453062103021966,0.006453062103021878,0.0,0.0,2.4716653016085925,2.4440101158749874
2024-07-23,-0.00415600414730889,-0.004156004147308878,0.0,0.0,2.461393050364348,2.433852799697346
2024-07-24,-0.02021310713843187,-0.02021310713843183,0.0,0.0,2.4116406489275417,2.3846570722978915
2024-07-25,-0.0013334597291238314,-0.0013334597291237982,0.0,0.0,2.408424823241079,2.381477228124212
2024-07-26,0.014384124627036213,0.014384124627036199,0.0,0.0,2.443067906053426,2.4157326933699994
2024-07-29,0.0007065991724226725,0.0007065991724226617,0.0,0.0,2.4447941758140157,2.417439648091929
2024-07-30,0.0005553355742539901,0.0005553355742540234,0.0,0.0,2.446151856991574,2.4187821383271264
2024-07-31,0.024844562231192736,0.0248445622311928,0.0,0.0,2.506925429029549,2.4788757216864923
2024-08-01,-0.01069904002051526,-0.011193690500504894,0.5,0.0005,2.4801037335359144,2.451127954068718
2024-08-02,-0.003244923132424865,-0.0032449231324248595,0.0,0.0,2.4720559875601507,2.443174232270027
2024-08-05,-0.012239981028859159,-0.012239981028859148,0.0,0.0,2.4417980691701366,2.4132698260168444
2024-08-06,-0.004064477095619007,-0.004064477095618968,0.0,0.0,2.431873436845868,2.4034611460834507
2024-08-07,-0.00012242092006853876,-0.00012242092006853333,0.0,0.0,2.431575724662239,2.403166912158598
2024-08-08,0.01098084247704948,0.010980842477049446,0.0,0.0,2.4582764746657726,2.4295557094670692
2024-08-09,0.00481761643961629,0.004817616439616312,0.0,0.0,2.4701195078232443,2.4412603769939616
2024-08-12,0.006147420865589802,0.006147420865589837,0.0,0.0,2.485304372026137,2.456267831973832
2024-08-13,0.006061064804822042,0.006061064804822047,0.0,0.0,2.5003679628846953,2.471155430481425
2024-08-14,-0.0009611817483807736,-0.0009611817483807794,0.0,0.0,2.4979646548345347,2.4687802009842343
2024-08-15,0.005421026649166129,0.005421026649166105,0.0,0.0,2.511506187797068,2.4821635242447035
2024-08-16,0.005706063148231093,0.0057060631482310775,0.0,0.0,2.525837000701811,2.49632690605828
2024-08-19,0.0038006723489123475,0.0038006723489123484,0.0,0.0,2.535436879548238,2.5058146267039816
2024-08-20,0.00011035711163421825,0.00011035711163431827,0.0,0.0,2.5357166830389963,2.5060911611684755
2024-08-21,0.0014141563261160677,0.0014141563261160783,0.0,0.0,2.539302582827554,2.5096351658378655
2024-08-22,-0.007102461968579854,-0.007102461968579887,0.0,0.0,2.5212672828063045,2.4918105775174912
2024-08-23,0.011640033929017779,0.01164003392901769,0.0,0.0,2.550614919522292,2.52081533718448
2024-08-26,-0.00020304532218954393,-0.0002030453221895101,0.0,0.0,2.5500970290941765,2.5203034974221614
2024-08-27,0.0005152500137297513,0.0005152500137297622,0.0,0.0,2.5514109666234295,2.5216020838338116
2024-08-28,-0.005163725992069152,-0.005163725992069157,0.0,0.0,2.5382361794986257,2.508581221611863
2024-08-29,0.002112784991114347,0.002112784991114447,0.0,0.0,2.543598926802574,2.513881314365876
2024-08-30,-0.0022280212121085045,-0.002228021212108522,0.0,0.0,2.5379317344385615,2.5082803334727455
2024-09-03,-0.008216820323452795,-0.008216820323452834,0.0,0.0,2.5170780053834907,2.4876702446517496
2024-09-04,0.0003224519225406288,0.00032245192254065635,0.0,0.0,2.5178896420255112,2.4884723987047845
2024-09-05,0.0023332336072775742,0.0023332336072776627,0.0,0.0,2.5237644667577013,2.4942785861362253
2024-09-06,-0.0098845570431598,-0.009884557043159825,0.0,0.0,2.498818172922535,2.4696237471700297
2024-09-09,0.006129527321431871,0.006129527321431905,0.0,0.0,2.5141347471847544,2.4847613734019656
2024-09-10,-5.6813882728156887e-05,-5.681388272815724e-05,0.0,0.0,2.513991909428065,2.4846202044606898
2024-09-11,0.00434997559406104,0.0043499755940610285,0.0,0.0,2.5249277128777443,2.495428241710605
2024-09-12,0.007893987481741527,0.007893987481741416,0.0,0.0,2.5448594606355033,2.5151271210122523
2024-09-13,0.004348396778871811,0.004348396778871777,0.0,0.0,2.555925519316812,2.526063891683715
2024-09-16,0.004169331258237596,0.004169331258237596,0.0,0.0,2.566582019478227,2.5365958888276174
2024-09-17,-0.0009902959098134327,-0.0009902959098134767,0.0,0.0,2.564040343802137,2.5340839082940616
2024-09-18,-0.005387152442243915,-0.00538715244224397,0.0,0.0,2.550227467602011,2.520432411978644
2024-09-19,0.012012423795748739,0.012012423795748628,0.0,0.0,2.580861880718405,2.5507089142598725
2024-09-20,0.0001236053133910065,0.00012360531339106196,0.0,0.0,2.5811808889599903,2.551024195434589
2024-09-23,0.001633423877284124,0.001633423877284157,0.0,0.0,2.5853970514556073,2.5551910992669415
2024-09-24,0.009242013943682946,0.009242013943682847,0.0,0.0,2.6092913270551166,2.578806211035141
2024-09-25,-0.0049457687958047395,-0.0049457687958047725,0.0,0.0,2.5963863754306034,2.566052031746176
2024-09-26,0.0062936035345019575,0.006293603534502035,0.0,0.0,2.6127270018999464,2.5822017458828896
