,Code,Name,MAD_gap_pct,MRAT,momentum_1m,momentum_3m,momentum_6m,momentum_12m,avg_momentum,current_price,volume_20d_avg
676,265520,AP시스템,16.71,1.1671,20.24,22.38,33.05,39.74,28.85,23350,255410.15
677,099190,아이센스,16.64,1.1664,57.19,44.62,39.3,55.89,49.25,24600,472678.5
678,033170,시그네틱스,16.61,1.1661,12.92,16.5,49.03,11.68,22.53,918,1024723.85
679,195940,HK이노엔,16.57,1.1657,4.75,8.89,12.22,50.34,19.05,55100,274996.1
680,299030,하나기술,16.57,1.1657,-0.16,-0.63,29.34,48.34,19.22,31300,76463.25
681,043590,웰킵스하이텍,16.48,1.1648,1.55,19.01,10.94,18.81,12.58,720,1314799.95
682,017000,신원종합개발,16.46,1.1646,6.06,27.64,26.67,8.48,17.21,3325,193314.25
683,101160,월덱스,16.45,1.1645,41.79,49.31,44.64,95.89,57.91,32400,254304.05
684,059090,미코,16.42,1.1642,17.95,24.04,0.06,94.59,34.16,16560,636491.7
685,071970,HD현대마린엔진,16.38,1.1638,-4.18,6.99,1.75,246.72,62.82,87200,284621.3
686,060370,LS마린솔루션,16.37,1.1637,9.92,22.24,34.85,125.81,48.2,32700,333608.8
687,303360,프로티아,16.15,1.1615,-8.27,-9.71,14.51,60.31,14.21,5210,81732
688,045970,코아시아,16.07,1.1607,1.96,11.74,7.94,66.47,22.03,5710,431919.35
689,011560,세보엠이씨,16.06,1.1606,32.11,13.94,48.23,79.44,43.43,17980,77488.85
690,005750,대림바스,16.03,1.1603,13.62,4.06,17.21,33.33,17.06,5380,157155.3
691,017890,한국알콜,16,1.16,21.11,21.23,38.02,51,32.84,12850,167562.5
692,126700,하이비젼시스템,15.94,1.1594,14.5,28.89,24.97,5.36,18.43,18870,352155.25
693,029780,삼성카드,15.94,1.1594,15.15,14.94,26.83,41.64,24.64,63100,117116.2
694,194370,제이에스코퍼레이션,15.89,1.1589,23.79,29.71,38.64,89.13,45.32,14100,214732.7
695,307930,컴퍼니케이,15.87,1.1587,17.09,29.37,18.21,42.58,26.81,7400,484503.35
696,090430,아모레퍼시픽,15.78,1.1578,19,22.82,29.85,35.35,26.76,156600,413794.45
697,007980,TP,15.75,1.1575,6.58,10.73,4.84,45.83,16.99,1992,611902.35
698,457550,우진엔텍,15.74,1.1574,9.29,44.58,20,62.07,33.99,30000,727974.45
699,004840,DRB동일,15.72,1.1572,13.43,25.88,21.6,46.51,26.85,6080,114089.9
700,096760,JW홀딩스,15.69,1.1569,10.24,14.44,27.47,36.59,22.18,4200,240876.05
701,014280,금강공업,15.69,1.1569,-11.51,-11.09,27.94,42.75,12.02,5610,291309.05
702,300080,플리토,15.66,1.1566,-21.3,-29.9,16.68,113.58,19.76,13150,201991.75
703,025620,차AI헬스케어,15.64,1.1564,-5.92,-11.1,43.5,167.94,48.61,10490,172659.6
704,001740,SK네트웍스,15.56,1.1556,25.4,31.11,34.4,36.73,31.91,5900,2199471.35
705,398120,에스지헬스케어,15.56,1.1556,41.83,60.33,41.37,39.59,45.78,4425,418728.8
706,001000,신라섬유,15.41,1.1541,5.04,-2.24,12.97,160.33,44.02,2395,655597.15
707,317850,대모,15.31,1.1531,7.83,-1.92,15.27,-3.56,4.41,8680,962113.35
708,083310,엘오티베큠,15.31,1.1531,10.53,15.86,23,50.91,25.08,14170,269687.9
709,211050,인카금융서비스,15.25,1.1525,-0.5,-7.68,22.6,141.59,39,13940,255396.8
710,036620,감성코퍼레이션,15.23,1.1523,3.8,9.98,10.95,85.52,27.57,6280,934258.15
711,079900,전진건설로봇,15.08,1.1508,13.9,20.78,16.83,14.12,16.41,59000,532548.8
712,003460,유화증권,15.07,1.1507,46.04,47.37,50.65,76.91,55.24,4060,1631172.9
713,000810,삼성화재,14.92,1.1492,11.72,12.76,24.55,43.27,23.07,548000,132649.85
714,002310,아세아제지,14.71,1.1471,35.45,44.66,34.41,47.11,40.41,10430,611766.8
715,271560,오리온,14.68,1.1468,23.57,27.27,26.92,31.84,27.4,135800,179203.45
716,204270,제이앤티씨,14.67,1.1467,8.51,13.73,36.81,14.56,18.4,23600,429452.05
717,001450,현대해상,14.59,1.1459,26.62,18.32,29.89,57.85,33.17,35200,1024807.5
718,075580,세진중공업,14.55,1.1455,-2.26,3.66,42.86,123.53,41.94,19000,288179
719,126720,수산인더스트리,14.54,1.1454,10.7,36.78,27.58,40.15,28.8,28450,101076.9
720,451220,아이엠티,14.54,1.1454,39.8,55.33,34.98,36.45,41.64,13700,541187.3
721,028300,HLB,14.54,1.1454,-17.75,11.25,38.4,-41.95,-2.51,51900,1187694.25
722,391710,코닉오토메이션,14.52,1.1452,-22.85,3.78,3.05,29.42,3.35,2195,425769
723,019990,에너토크,14.5,1.145,7.51,24.17,23.18,64.31,29.79,9300,788293
724,144510,지씨셀,14.45,1.1445,0.82,-1.01,27.87,7.46,8.78,24500,70391.5
725,073560,우리손에프앤지,14.45,1.1445,15.28,26.76,18.94,46.17,26.79,1909,694676.35
726,263600,덕우전자,14.43,1.1443,22.5,58.48,28.81,28.41,34.55,6260,165329.4
727,004990,롯데지주,14.41,1.1441,20.3,28.11,28.8,65.35,35.64,35550,527789.2
728,208370,셀바스헬스케어,14.4,1.144,-10.02,18.17,32.17,15.47,13.95,5300,820924.95
729,119850,지엔씨에너지,14.4,1.144,7.39,28.76,26.85,139.28,50.57,38500,469022.2
730,051500,CJ프레시웨이,14.36,1.1436,26.26,28.9,14.92,59.15,32.31,33900,65615.55
731,012750,에스원,14.29,1.1429,21.79,17.49,13.64,49.75,25.67,90000,63434.95
732,092460,한라IMS,14.23,1.1423,-4.22,0.97,21.57,81.37,24.92,15670,80108.7
733,210980,SK디앤디,14.17,1.1417,1.65,2.06,28.87,59.65,23.06,12900,54190.5
734,018500,동원금속,14.11,1.1411,0.3,31.29,17.22,-11.72,9.27,1695,472206.4
735,095500,미래나노텍,14.01,1.1401,-5.6,-6.29,8.39,45.38,10.47,11630,363865.6
736,382840,원준,13.98,1.1398,4.51,31.07,13.63,1.07,12.57,10420,826818.05
737,348370,엔켐,13.95,1.1395,6.72,26.92,-7.6,-20.61,1.36,77800,448560.05
738,090370,메타랩스,13.91,1.1391,0.91,10.55,25.19,21.51,14.54,1655,186153
739,136490,선진,13.91,1.1391,20.85,38.34,11.88,123.56,48.66,12810,365447.85
740,025820,이구산업,13.9,1.139,-3.72,22.23,23.7,22.1,16.08,5690,967951.35
741,329180,HD현대중공업,13.87,1.1387,-2.15,6.86,13.63,88.24,26.64,592000,255619.95
742,033920,무학,13.84,1.1384,7.51,19.95,26.33,51.24,26.26,9740,85711.9
743,228760,지노믹트리,13.79,1.1379,-16.11,-20.44,6.93,-0.74,-7.59,20050,222087.1
744,093050,LF,13.76,1.1376,27.47,27.47,18.56,40.24,28.44,22550,86275.4
745,373200,엑스플러스,13.59,1.1359,63.95,94.29,70.47,62.87,72.9,987,1764151.45
746,058730,다스코,13.57,1.1357,7.81,7.98,15.77,16.55,12.03,3450,1225108.25
747,082210,옵트론텍,13.57,1.1357,25.79,47.17,18.91,51.65,35.88,2390,241227.05
748,051600,한전KPS,13.56,1.1356,8.77,16.98,22.77,45.71,23.56,62000,395725.6
749,278280,천보,13.55,1.1355,-2.85,0.74,22.01,48.77,17.17,54600,141377.2
750,290560,파라택시스이더리움,13.53,1.1353,3.37,19.82,25.14,40.43,22.19,1747,160774.35
751,030200,KT,13.53,1.1353,18.75,28.69,19.19,35.43,25.51,64600,594078.6
752,002790,아모레퍼시픽홀딩스,13.49,1.1349,13.09,12.5,21.35,53.55,25.12,32400,256433.05
753,013310,아진산업,13.46,1.1346,2.84,35.26,-1.89,33.52,17.43,3625,640193.35
754,007340,DN오토모티브,13.39,1.1339,14.66,17.54,6.23,31.85,17.57,28150,241905.5
755,104540,코렌텍,13.28,1.1328,-0.29,32.24,24.55,10.48,16.74,6850,137478.85
756,450950,아스테라시스,13.25,1.1325,-6.71,2.03,42.22,26.4,15.99,13070,197526.15
757,900070,글로벌에스엠,13.23,1.1323,50.49,47.62,36.56,58.16,48.21,620,3019288.35
758,251370,와이엠티,13.18,1.1318,25.85,24.51,39.31,51.94,35.4,14070,246612.35
759,080160,모두투어,13.18,1.1318,21.82,25.7,10.56,38.43,24.13,13400,795469.5
760,005690,파미셀,13.16,1.1316,24.49,5.06,61.03,71.44,40.51,17230,2178806.8
761,072950,빛샘전자,13.12,1.1312,17,10.6,17.42,49.25,23.57,6470,202202.75
762,017510,세명전기,13.08,1.1308,15.07,22.66,1.18,92.91,32.95,11150,1432855.8
763,016600,큐캐피탈,13.03,1.1303,56.54,52.05,40.53,33.45,45.64,371,17085644.25
764,086670,비엠티,12.97,1.1297,12.08,4.58,33.85,48.24,24.69,13920,189481.45
765,038290,마크로젠,12.96,1.1296,8.45,18.39,18.16,20.63,16.41,18480,105080.5
766,101670,하이드로리튬,12.88,1.1288,-17.95,-5.24,-28.52,22.14,-7.39,2080,2401522.45
767,091440,한울소재과학,12.87,1.1287,14.24,32.66,53.02,-19.95,19.99,3290,255292.2
768,092730,네오팜,12.87,1.1287,-0.36,3.63,2.63,66.15,18.01,19140,96199.8
769,108380,대양전기공업,12.82,1.1282,16.06,11.25,10.1,84.35,30.44,32150,71093.05
770,078000,텔코웨어,12.79,1.1279,31.02,32.93,51.37,128.71,61.01,20950,199093.2
771,229640,LS에코에너지,12.77,1.1277,11.3,28.37,11.44,20.11,17.81,44800,212760.2
772,079160,CJ CGV,12.69,1.1269,-9.08,0,16.88,11.09,4.72,5610,622937.6
773,282330,BGF리테일,12.64,1.1264,13.51,18.39,8.65,30.05,17.65,129400,77604.05
774,217190,제너셈,12.62,1.1262,23.73,23.97,32.67,20.21,25.15,6310,266642.8
775,020400,대동금속,12.57,1.1257,30.45,20.07,21.68,4.78,19.24,7240,603697.8
776,003620,KG모빌리티,12.53,1.1253,16.43,25.23,26.76,-13.66,13.69,4145,6436780.8
777,036710,심텍홀딩스,12.52,1.1252,10.08,-10.98,78.1,75.99,38.3,2675,445900.25
778,096630,에스코넥,12.42,1.1242,27.1,55.03,34.89,45.51,40.63,924,2957551.1
779,402490,그린리소스,12.42,1.1242,10.56,28.09,-9.75,35.1,16,9530,1031518.35
780,180640,한진칼,12.39,1.1239,39.23,71.98,57.39,119.19,71.95,172500,133709.15
