date,Daily Top20,Weekly Top20,Weekly Buffer 20/25,Weekly Score50 MADScale,Biweekly Score50 MADScale
2025-12-17,1.008446954337771,1.0,1.0,1.0,1.0
2025-12-18,1.042255952508837,1.0,1.0,1.0,1.0
2025-12-19,1.0504187874579745,1.0,1.0,1.0,1.0
2025-12-22,1.0527303811303108,1.003056380187236,1.003056380187236,1.0042983782204529,1.0
2025-12-23,1.04717155986368,0.9977321501787206,0.9977321501787206,1.001364059837172,1.0
2025-12-24,1.047599185068188,0.9971072278873447,0.9971072278873447,0.9907552464905013,1.0
2025-12-26,1.0415501789491586,0.9913866591876852,0.9913866591876852,0.9897568478050055,1.0
2025-12-29,1.0190920664907346,0.9706819826818303,0.9706819826818303,0.9767957954129214,0.9922197624827725
2025-12-30,1.018276792837542,0.9699054370956848,0.9699054370956848,0.9795226742566414,0.9947289977695372
2026-01-02,1.018276792837542,0.9699054370956848,0.9699054370956848,0.9782640674629495,0.9946766336109163
2026-01-05,1.018276792837542,0.9699054370956848,0.9699054370956848,0.9820424423866461,0.9976886510140126
2026-01-06,1.0147064883340198,0.9699054370956848,0.9699054370956848,0.9767637448949625,0.9934996365474257
2026-01-07,1.0255442757698519,0.9699054370956848,0.9699054370956848,0.9831167054248101,0.9983951957725645
2026-01-08,1.024723840349236,0.9699054370956848,0.9699054370956848,0.9835083004316245,0.9981235062907066
2026-01-09,1.024723840349236,0.9699054370956848,0.9699054370956848,0.9935069279634027,1.0005278365359773
2026-01-12,1.024723840349236,0.9699054370956848,0.9699054370956848,0.9950030156788836,1.0015963276935567
2026-01-13,1.024723840349236,0.9699054370956848,0.9699054370956848,0.9970693746313684,1.003977704385143
2026-01-14,1.024723840349236,0.9699054370956848,0.9699054370956848,1.0101001224485775,1.0197449995982149
2026-01-15,1.024723840349236,0.9699054370956848,0.9699054370956848,1.0172134689606833,1.026824787180935
2026-01-16,1.024723840349236,0.9699054370956848,0.9699054370956848,1.019200456238502,1.0294490862261214
2026-01-19,1.0224851146828342,0.9677864738096653,0.9677864738096653,1.0217216325880911,1.0325992609094057
2026-01-20,1.024306065761222,0.9695100116859887,0.9695100116859887,1.0229884108493,1.0358641555472003
2026-01-21,1.0180600549261027,0.9646375293853512,0.9646375293853512,1.0201857720444982,1.0325245463712829
2026-01-22,1.0172456068821618,0.9638658193618429,0.9638658193618429,1.0295099667537642,1.0419615138102312
2026-01-23,1.0310963138285612,0.9638658193618429,0.9638658193618429,1.03590018376349,1.0484290181608933
2026-01-26,1.01862004746977,0.9637423182887793,0.9637423182887793,1.0330340300952607,1.045528199410806
2026-01-27,1.0248327385353175,0.9688162297055053,0.9688162297055053,1.0386028358150294,1.0511643578019498
