date,Daily Top20,Weekly Top20,Weekly Buffer 20/25,Weekly Score50 MADScale,Biweekly Score50 MADScale
2025-08-05,1.1743725533966696,1.1234064191575657,1.1414756467976415,1.1891066584452934,1.1891066584452934
2025-08-06,1.1797715566313234,1.1285711131665663,1.145478868686251,1.1943301146621028,1.1943301146621028
2025-08-07,1.1836714655118845,1.132301771429892,1.1492693978435005,1.1995032346985792,1.1995032346985792
2025-08-08,1.1879084897693566,1.1361239541054688,1.1533832777999862,1.2006660879462154,1.2006660879462154
2025-08-11,1.1897714365866379,1.1378526979796613,1.1560510784103442,1.197811389516341,1.197811389516341
2025-08-12,1.1846243339958524,1.132930202456903,1.1510421135516191,1.195491906068071,1.195491906068071
2025-08-13,1.1902084084670754,1.138270601467514,1.1564678883708022,1.1997202969769964,1.1997202969769964
2025-08-14,1.1809323734580497,1.1293993501187216,1.1474548142377115,1.1952117268148252,1.1952117268148252
2025-08-18,1.1690168263804623,1.118003768603474,1.135877054015577,1.1833559480006608,1.1833559480006608
2025-08-19,1.1609846377899158,1.110322085233553,1.128072565228383,1.1747071949748498,1.1747071949748498
2025-08-20,1.1493509150930143,1.0991960299668424,1.1167686401128603,1.165075078657526,1.165075078657526
2025-08-21,1.1516469093868595,1.1013918326407515,1.118999546611105,1.1707261840723235,1.1707261840723235
2025-08-22,1.1639773857127882,1.1131842368987357,1.130980473495682,1.179994755294576,1.179994755294576
2025-08-25,1.1845850381230947,1.1328926213606842,1.1510039316545109,1.1950118025313334,1.1950118025313334
2025-08-26,1.1780698832448722,1.1266617720328427,1.1446734710806936,1.188781960614583,1.188781960614583
2025-08-27,1.1806524830697775,1.129131673467862,1.147182858297897,1.1924830173970573,1.1924830173970573
2025-08-28,1.1962315552896963,1.144030912777482,1.1627878302823704,1.2048177492744272,1.2048177492744272
2025-08-29,1.1927365630518432,1.1406884335205685,1.15945266392961,1.200799498296115,1.200799498296115
2025-09-01,1.1793620758030205,1.127897576443156,1.1464513983109372,1.1885921988146122,1.1885921988146122
2025-09-02,1.1812308718614235,1.129684822776055,1.148268044698227,1.1922908316748877,1.1922908316748877
2025-09-03,1.1847241750542477,1.1330256866937665,1.1509701120220392,1.1964163565630017,1.1964163565630017
2025-09-04,1.1921939763968468,1.1401695240306529,1.1581946010313056,1.2029188273523368,1.2029188273523368
2025-09-05,1.2029551059431818,1.1504610639946098,1.1671724230370124,1.210201132025089,1.210201132025089
2025-09-08,1.2093571135021988,1.1565837034777129,1.171521110718308,1.216814309516671,1.216814309516671
2025-09-09,1.234654999356863,1.1807776509769854,1.1947066827279404,1.2350918189174906,1.2350918189174906
2025-09-10,1.259367863325565,1.20441210552589,1.2185862539891075,1.2561112484729464,1.2561112484729464
2025-09-11,1.260337423869833,1.2053393568005677,1.219622859104095,1.2578050077449248,1.2578050077449248
2025-09-12,1.2699530120399114,1.214535344034363,1.2293847268326714,1.2700121231119283,1.2700121231119283
2025-09-15,1.2870424939261977,1.230879082397399,1.2399240122929185,1.2794777507906672,1.2794777507906672
2025-09-16,1.3033032801221067,1.244351979102751,1.2537636496631195,1.290951581417347,1.290951581417347
2025-09-17,1.2883449857384193,1.2262913662756074,1.2362057689610333,1.2766917315762376,1.2766917315762376
2025-09-18,1.3059695379178278,1.24299545159086,1.251669476042379,1.2918389454910664,1.2918389454910664
2025-09-19,1.3038286216060464,1.241619642744451,1.250063293006931,1.290319414120345,1.290319414120345
2025-09-22,1.3147108621255297,1.251924329049013,1.2597200153560943,1.299035169366752,1.299035169366752
2025-09-23,1.3122786162263618,1.249608239707152,1.256210922087174,1.3006058766992108,1.3006058766992108
2025-09-24,1.2977293010506141,1.2357537549194684,1.2407215297695897,1.2890240184895159,1.2890240184895159
2025-09-25,1.284252566934384,1.2229206280302936,1.2286624228777154,1.2811992889048944,1.2811992889048944
2025-09-26,1.262578567806768,1.2022817122067937,1.2093488743596024,1.2627750637540944,1.2627750637540944
2025-09-29,1.2862214638122944,1.2247954964700807,1.2311201702917076,1.281248364929583,1.281248364929583
2025-09-30,1.2833625314071704,1.2220730978528707,1.227583390984144,1.2779639005152976,1.2779639005152976
2025-10-01,1.2875553697341102,1.2260656991620122,1.2315928998460104,1.2826369401820092,1.2826369401820092
2025-10-02,1.3037845386119995,1.2415198130236917,1.2479577792570353,1.3056146804892927,1.3056146804892927
2025-10-10,1.3124993070349318,1.2498183910038403,1.2562876478559506,1.317018348087608,1.317018348087608
2025-10-13,1.3022758397885632,1.2400831649996436,1.24650203078855,1.312983275343446,1.312983275343446
2025-10-14,1.2871105497498065,1.2256421224072753,1.2321727433564857,1.2979006469497287,1.2979006469497287
2025-10-15,1.3216929295002429,1.25857295443523,1.261778525387012,1.3315695145494297,1.3315695145494297
2025-10-16,1.3375647302154348,1.273686766934688,1.2770408575737475,1.352219778227434,1.352219778227434
2025-10-17,1.3315398816382191,1.2679496465305422,1.2712886291993044,1.3459511302132257,1.3459511302132257
2025-10-20,1.3624219904751762,1.2973569211633995,1.3007733441158538,1.3675233876897355,1.3675233876897355
2025-10-21,1.3581186408735275,1.2932590862569493,1.296664718087083,1.3674393376434941,1.3674393376434941
2025-10-22,1.3693074607956406,1.303913562672543,1.3092537971618554,1.37872557296317,1.37872557296317
2025-10-23,1.3577470619202994,1.292905252767693,1.298403638217834,1.3683460229807927,1.3683460229807927
2025-10-24,1.3806415740791365,1.314706393687011,1.3203704807603271,1.3930870125809514,1.3930870125809514
2025-10-27,1.4121271471181638,1.344688312934168,1.3473390913666685,1.4223708677814235,1.4223708677814235
2025-10-28,1.4107392809685355,1.3433667269883622,1.3460144023710259,1.4147298456880961,1.4147298456880961
2025-10-29,1.4195996044274442,1.3518039087452072,1.3534277217713107,1.4310685765803146,1.4310685765803146
2025-10-30,1.413862203884434,1.3463405087443272,1.3471998559502951,1.42642144472428,1.42642144472428
2025-10-31,1.4289131145917664,1.360672634409122,1.3599041077894587,1.4427668257858948,1.4427668257858948
2025-11-03,1.4393868456052334,1.37064617235531,1.3706938973147222,1.4530699889827503,1.4530699889827503
2025-11-04,1.4190239257344792,1.3512557226898545,1.3512859412152352,1.4334360617262254,1.4334360617262254
2025-11-05,1.4025430901352323,1.33556196093269,1.3355918284939046,1.4110742269975898,1.4110742269975898
2025-11-06,1.4014210556631241,1.334493511363944,1.3345233550311093,1.418255761483174,1.418255761483174
2025-11-07,1.4014210556631241,1.334493511363944,1.3345233550311093,1.4082879126722936,1.4082879126722936
2025-11-10,1.4014210556631241,1.334493511363944,1.3345233550311093,1.4253384766020136,1.4253384766020136
2025-11-11,1.405852416314869,1.334493511363944,1.3345233550311093,1.43152353760283,1.43152353760283
2025-11-12,1.4300662184527275,1.334493511363944,1.3345233550311093,1.4574664411782656,1.4574664411782656
2025-11-13,1.4296420950859403,1.334493511363944,1.3345233550311093,1.4611648822585988,1.4611648822585988
2025-11-14,1.3905874666871254,1.334493511363944,1.3345233550311093,1.420474759583644,1.420474759583644
2025-11-17,1.404163130064328,1.3468757241996883,1.3469058447738864,1.4312242844277585,1.4312242844277585
2025-11-18,1.3743816916865486,1.318309316548077,1.3183387982833787,1.395007232106671,1.395007232106671
2025-11-19,1.3704580363736116,1.3145457395263105,1.3143509608338892,1.3911310483324222,1.3911310483324222
2025-11-20,1.3904212066472499,1.3336944472825072,1.3335344486710408,1.4168867400204999,1.4168867400204999
2025-11-21,1.3587823539387678,1.303346404564257,1.3031900467002688,1.3845721935012716,1.3845721935012716
2025-11-24,1.3393920154251002,1.2847471580316432,1.284077225488466,1.3807890297913747,1.3807890297913747
2025-11-25,1.3386415050843103,1.2840272672033428,1.2833561501156032,1.3821149027440742,1.3821149027440742
2025-11-26,1.3386415050843103,1.2840272672033428,1.2833561501156032,1.3940595446581208,1.3940595446581208
2025-11-27,1.3477091707610587,1.2840272672033428,1.2833561501156032,1.402894994041158,1.402894994041158
2025-11-28,1.3528838406801085,1.2840272672033428,1.2833561501156032,1.405609892374944,1.405609892374944
2025-12-01,1.3573910891779908,1.287576763275895,1.2869037909880923,1.4105412177778167,1.4105412177778167
2025-12-02,1.377008060876739,1.3061847806163103,1.3056761997619872,1.4251052400322481,1.4251052400322481
2025-12-03,1.3923104176965386,1.3207000954888002,1.318714918659892,1.438633239073512,1.438633239073512
2025-12-04,1.3862064262900358,1.3149100490085273,1.3158963535518955,1.4363453939890425,1.4363453939890425
2025-12-05,1.396459738637382,1.3246360055366844,1.3256339532673858,1.452177114398451,1.452177114398451
