regime_breadth_threshold,target_vol_annual,max_weight,stop_loss_pct,trend_exit_ma,period_years,train_score,test_score,overall_score,train_cagr,test_cagr,train_mdd,test_mdd,rank_in_period
0.55,0.2,0.2,0.1,40,5,-0.3888163245302043,1.5506329346992087,0.7748532310074435,-0.038470007272655406,0.4367237902867727,-0.1429257399979614,-0.056780127534452864,2.0
0.55,0.2,0.15,0.12,40,5,-0.40729829974940596,1.5603182302367982,0.7732716182423165,-0.04245063068804426,0.4405383512196031,-0.15656133397595104,-0.05684091567306911,3.0
0.55,0.2,0.2,0.12,60,5,-0.3866232323039707,1.5406188332708657,0.769722007040931,-0.03855753015250252,0.432536938096245,-0.13976636753919225,-0.05711443247929086,4.0
0.55,0.2,0.15,0.1,40,5,-0.41020965214255295,1.5506329346992087,0.766295899962504,-0.04278503433564784,0.4367237902867727,-0.15716941499086154,-0.056780127534452864,5.0
0.55,0.2,0.2,0.1,60,5,-0.38269219353040246,1.5319923879290187,0.7661185553452502,-0.038210696645042064,0.43000039976859156,-0.13787761452929945,-0.0571144324792909,6.0
0.55,0.24,0.2,0.12,40,5,-0.3857625116886876,1.5287911922550432,0.7629697106775508,-0.03813810900372835,0.4635832838512661,-0.14232089735916897,-0.0676336283995876,7.0
0.55,0.2,0.15,0.12,60,5,-0.40858597195569857,1.5406188332708657,0.7609369111802399,-0.043031625683712216,0.432536938096245,-0.15369910818556512,-0.05711443247929086,8.0
0.5,0.2,0.2,0.12,40,5,-0.3857625116886876,1.5225344268484342,0.7592156514335855,-0.03813810900372835,0.4598679849540939,-0.14232089735916897,-0.07330199981076006,9.0
0.55,0.2,0.15,0.1,60,5,-0.40316551887476454,1.5319923879290187,0.7579292252075054,-0.04249282949988823,0.43000039976859156,-0.1513394178459724,-0.0571144324792909,10.0
0.55,0.24,0.2,0.1,40,5,-0.3888163245302043,1.5197628150788118,0.7563311592352053,-0.038470007272655406,0.45975906760320484,-0.1429257399979614,-0.06755985618991944,11.0
0.55,0.24,0.15,0.12,40,5,-0.40729829974940596,1.5287911922550432,0.7543553954532635,-0.04245063068804426,0.4635832838512661,-0.15656133397595104,-0.0676336283995876,12.0
0.55,0.24,0.2,0.12,60,5,-0.3866232323039707,1.513237914518303,0.7532934557893936,-0.03855753015250252,0.4569240358359808,-0.13976636753919225,-0.06796172896496407,13.0
0.5,0.2,0.2,0.1,40,5,-0.3888163245302043,1.510485533817368,0.750764790478339,-0.038470007272655406,0.45469840946109447,-0.1429257399979614,-0.07342785378726562,14.0
0.5,0.2,0.15,0.12,40,5,-0.40729829974940596,1.5225344268484342,0.7506013362092981,-0.04245063068804426,0.4598679849540939,-0.15656133397595104,-0.07330199981076006,15.0
0.55,0.24,0.2,0.1,60,5,-0.38269219353040246,1.5040312345398312,0.7493418633117377,-0.038210696645042064,0.45374059895442564,-0.13787761452929945,-0.06796172896496407,16.0
0.55,0.24,0.15,0.1,40,5,-0.41020965214255295,1.5197628150788118,0.7477738281902658,-0.04278503433564784,0.45975906760320484,-0.15716941499086154,-0.06755985618991944,17.0
0.5,0.2,0.2,0.12,60,5,-0.3866232323039707,1.5012282659490113,0.7460876666478184,-0.03855753015250252,0.4503140244145986,-0.13976636753919225,-0.07219253875379843,18.0
0.55,0.24,0.15,0.12,60,5,-0.40858597195569857,1.513237914518303,0.7445083599287023,-0.043031625683712216,0.4569240358359808,-0.15369910818556512,-0.06796172896496407,19.0
0.5,0.2,0.15,0.1,40,5,-0.41020965214255295,1.510485533817368,0.7422074594333995,-0.04278503433564784,0.45469840946109447,-0.15716941499086154,-0.07342785378726562,20.0
0.55,0.24,0.15,0.1,60,5,-0.40316551887476454,1.5040312345398312,0.7411525331739929,-0.04249282949988823,0.45374059895442564,-0.1513394178459724,-0.06796172896496407,21.0
0.5,0.2,0.2,0.1,60,5,-0.38269219353040246,1.4898444185764033,0.7408297737336809,-0.038210696645042064,0.44706694037831257,-0.13787761452929945,-0.0747585359495817,22.0
0.5,0.2,0.15,0.12,60,5,-0.40858597195569857,1.5012282659490113,0.7373025707871272,-0.043031625683712216,0.4503140244145986,-0.15369910818556512,-0.07219253875379843,23.0
0.5,0.24,0.2,0.12,40,5,-0.3857625116886876,1.479099134203608,0.7331544758466897,-0.03813810900372835,0.48593978865958687,-0.14232089735916897,-0.08759617801848467,24.0
0.5,0.2,0.15,0.1,60,5,-0.40316551887476454,1.4898444185764033,0.732640443595936,-0.04249282949988823,0.44706694037831257,-0.1513394178459724,-0.0747585359495817,25.0
0.5,0.24,0.2,0.1,40,5,-0.3888163245302043,1.467940517705002,0.7252377808109195,-0.038470007272655406,0.48067531307613204,-0.1429257399979614,-0.08759617801848467,26.0
0.5,0.24,0.15,0.12,40,5,-0.40729829974940596,1.479099134203608,0.7245401606224023,-0.04245063068804426,0.48593978865958687,-0.15656133397595104,-0.08759617801848467,27.0
0.5,0.24,0.2,0.12,60,5,-0.3866232323039707,1.4608428027350004,0.721856388719412,-0.03855753015250252,0.4772394376242655,-0.13976636753919225,-0.08628634318247004,28.0
0.5,0.24,0.2,0.1,60,5,-0.38269219353040246,1.4504137903751007,0.7171713968128993,-0.038210696645042064,0.47357198037311776,-0.13787761452929945,-0.08840374253320722,29.0
0.5,0.24,0.15,0.1,40,5,-0.41020965214255295,1.467940517705002,0.71668044976598,-0.04278503433564784,0.48067531307613204,-0.15716941499086154,-0.08759617801848467,30.0
0.5,0.24,0.15,0.12,60,5,-0.40858597195569857,1.4608428027350004,0.7130712928587208,-0.043031625683712216,0.4772394376242655,-0.15369910818556512,-0.08628634318247004,31.0
0.5,0.24,0.15,0.1,60,5,-0.40316551887476454,1.4504137903751007,0.7089820666751545,-0.04249282949988823,0.47357198037311776,-0.1513394178459724,-0.08840374253320722,32.0
