SignalDate,AssetKey,TargetWeight
2021-04-30,US:STOCK:AMAT,0.2
2021-04-30,US:STOCK:COF,0.2
2021-04-30,US:STOCK:DE,0.2
2021-04-30,US:STOCK:LRCX,0.2
2021-04-30,US:STOCK:WFC,0.2
2021-06-30,US:STOCK:AMAT,0.16666666666666666
2021-06-30,US:STOCK:GS,0.16666666666666666
2021-06-30,US:STOCK:MS,0.16666666666666666
2021-06-30,US:STOCK:NVDA,0.16666666666666666
2021-06-30,US:STOCK:SCHW,0.16666666666666666
2021-06-30,KR:ETF:069500,0.16666666666666666
2021-07-30,US:STOCK:AMAT,0.16000000000000003
2021-07-30,US:STOCK:COF,0.16000000000000003
2021-07-30,US:STOCK:INTU,0.16000000000000003
2021-07-30,US:STOCK:MS,0.16000000000000003
2021-07-30,US:STOCK:NVDA,0.16000000000000003
2021-08-31,US:STOCK:COF,0.1875
2021-08-31,US:STOCK:DVN,0.1875
2021-08-31,US:STOCK:NVDA,0.1875
2021-08-31,KR:ETF:360750,0.1875
2021-09-30,US:STOCK:AIG,0.16666666666666666
2021-09-30,US:STOCK:AXP,0.16666666666666666
2021-09-30,US:STOCK:BAC,0.16666666666666666
2021-09-30,US:STOCK:JPM,0.16666666666666666
2021-09-30,US:STOCK:SCHW,0.16666666666666666
2021-09-30,KR:ETF:360750,0.16666666666666666
2021-10-29,US:STOCK:BAC,0.16666666666666666
2021-10-29,US:STOCK:INTU,0.16666666666666666
2021-10-29,US:STOCK:NVDA,0.16666666666666666
2021-10-29,US:STOCK:PLTR,0.16666666666666666
2021-10-29,US:STOCK:WFC,0.16666666666666666
2021-10-29,KR:ETF:360750,0.16666666666666666
2021-11-30,US:STOCK:AMD,0.13333333333333333
2021-11-30,US:STOCK:INTU,0.13333333333333333
2021-11-30,US:STOCK:NVDA,0.13333333333333333
2021-11-30,US:STOCK:PFE,0.13333333333333333
2021-11-30,US:STOCK:QCOM,0.13333333333333333
2021-11-30,KR:ETF:360750,0.13333333333333333
2022-02-28,US:STOCK:AXP,0.2
2022-02-28,US:STOCK:COP,0.2
2022-02-28,US:STOCK:CVX,0.2
2022-02-28,US:STOCK:XOM,0.2
2022-02-28,US:ETF:XLE,0.2
2022-03-31,US:STOCK:APA,0.1875
2022-03-31,US:STOCK:OXY,0.1875
2022-03-31,KR:ETF:360750,0.1875
2022-03-31,KR:STOCK:007810,0.1875
2022-04-29,US:STOCK:BMY,0.2
2022-04-29,US:STOCK:LLY,0.2
2022-04-29,US:STOCK:MO,0.2
2022-04-29,US:STOCK:XOM,0.2
2022-04-29,US:ETF:XLE,0.2
2022-05-31,US:STOCK:COP,0.2
2022-05-31,US:STOCK:CVX,0.2
2022-05-31,US:STOCK:LLY,0.2
2022-05-31,US:STOCK:XOM,0.2
2022-05-31,US:ETF:XLE,0.2
2022-06-30,US:STOCK:ABBV,0.2
2022-06-30,US:STOCK:BMY,0.2
2022-06-30,US:STOCK:LLY,0.2
2022-06-30,US:STOCK:MRK,0.2
2022-06-30,US:STOCK:UNH,0.2
2022-07-29,US:STOCK:AMGN,0.1875
2022-07-29,US:STOCK:GD,0.1875
2022-07-29,US:STOCK:LLY,0.1875
2022-07-29,US:STOCK:UNH,0.1875
2022-08-31,US:STOCK:GD,0.1875
2022-08-31,US:STOCK:LMT,0.1875
2022-08-31,US:STOCK:OXY,0.1875
2022-08-31,KR:STOCK:214370,0.1875
2022-09-30,US:STOCK:COP,0.1875
2022-09-30,US:STOCK:LLY,0.1875
2022-09-30,US:STOCK:TWX,0.1875
2022-09-30,KR:STOCK:058610,0.1875
2022-10-31,US:STOCK:COP,0.14285714285714285
2022-10-31,US:STOCK:CVX,0.14285714285714285
2022-10-31,US:STOCK:GILD,0.14285714285714285
2022-10-31,US:STOCK:XOM,0.14285714285714285
2022-10-31,US:ETF:XLE,0.14285714285714285
2022-10-31,KR:ETF:379800,0.14285714285714285
2022-10-31,KR:ETF:360750,0.14285714285714285
2022-11-30,US:STOCK:BIIB,0.2
2022-11-30,US:STOCK:DE,0.2
2022-11-30,US:STOCK:GILD,0.2
2022-11-30,US:STOCK:LLY,0.2
2022-11-30,US:STOCK:MRK,0.2
2023-01-31,US:STOCK:BA,0.2
2023-01-31,US:STOCK:CAT,0.2
2023-01-31,US:STOCK:GE,0.2
2023-01-31,US:STOCK:MS,0.2
2023-01-31,US:STOCK:NVDA,0.2
2023-02-28,US:STOCK:GE,0.1875
2023-02-28,US:STOCK:NVDA,0.1875
2023-02-28,KR:STOCK:058610,0.1875
2023-02-28,KR:STOCK:214370,0.1875
2023-03-31,US:STOCK:AMD,0.2
2023-03-31,US:STOCK:BA,0.2
2023-03-31,US:STOCK:FDX,0.2
2023-03-31,US:STOCK:GE,0.2
2023-03-31,US:STOCK:NVDA,0.2
2023-04-28,US:STOCK:BA,0.125
2023-04-28,US:STOCK:FDX,0.125
2023-04-28,US:STOCK:GE,0.125
2023-04-28,US:STOCK:ISRG,0.125
2023-04-28,US:STOCK:NVDA,0.125
2023-04-28,KR:ETF:069500,0.125
2023-04-28,KR:ETF:379800,0.125
2023-04-28,KR:ETF:360750,0.125
2023-05-31,US:STOCK:AMD,0.1
2023-05-31,US:STOCK:AVGO,0.1
2023-05-31,US:STOCK:CRM,0.1
2023-05-31,US:STOCK:NVDA,0.1
2023-05-31,US:STOCK:PLTR,0.1
2023-05-31,KR:ETF:069500,0.1
2023-05-31,KR:ETF:379800,0.1
2023-05-31,KR:ETF:360750,0.1
2023-06-30,US:STOCK:AVGO,0.125
2023-06-30,US:STOCK:GE,0.125
2023-06-30,US:STOCK:NVDA,0.125
2023-06-30,US:STOCK:PLTR,0.125
2023-06-30,US:STOCK:UBER,0.125
2023-06-30,KR:ETF:069500,0.125
2023-06-30,KR:ETF:379800,0.125
2023-06-30,KR:ETF:360750,0.125
2023-07-31,US:STOCK:AVGO,0.125
2023-07-31,US:STOCK:LRCX,0.125
2023-07-31,US:STOCK:NVDA,0.125
2023-07-31,US:STOCK:PLTR,0.125
2023-07-31,US:STOCK:UBER,0.125
2023-07-31,KR:ETF:069500,0.125
2023-07-31,KR:ETF:379800,0.125
