Symbol,YahooTicker,Name,Sector,UniverseType,Status,Bars,FirstDate,LastDate
FDX,FDX,FedEx,Industrials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
FOX,FOX,21st Century Fox,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,1771,2019-03-13,2026-03-27
FOXA,FOXA,21st Century Fox,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,1772,2019-03-12,2026-03-27
GD,GD,General Dynamics,Industrials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
GE,GE,GE,Industrials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
GEV,GEV,GE Vernova,Industrials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,502,2024-03-27,2026-03-27
GILD,GILD,Gilead,Health Care,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
GM,GM,GM,Consumer Discretionary,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
GOOG,GOOG,Alphabet (Class C),Communication Services,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
GOOGL,GOOGL,Alphabet (Class A),Communication Services,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
GS,GS,Goldman Sachs,Financials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
HAL,HAL,Halliburton,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
HD,HD,Home Depot,Consumer Discretionary,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
HON,HON,Honeywell,Industrials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
HPQ,HPQ,Hewlett Packard Co,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
IBM,IBM,IBM,Information Technology,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
INTC,INTC,Intel,Information Technology,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
INTU,INTU,Intuit,Information Technology,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
ISRG,ISRG,Intuitive Surgical,Health Care,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
JNJ,JNJ,Johnson & Johnson,Health Care,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
JPM,JPM,JPMorgan Chase,Financials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
KHC,KHC,Kraft Heinz,Consumer Staples,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2699,2015-07-06,2026-03-27
KMI,KMI,Kinder Morgan,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
KO,KO,Coca-Cola,Consumer Staples,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
LIN,LIN,Linde,Industrials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
LLY,LLY,Eli Lilly,Health Care,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
LMT,LMT,Lockheed Martin,Industrials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
LOW,LOW,Lowe's,Consumer Discretionary,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
LRCX,LRCX,Lam Research,Information Technology,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
MA,MA,Mastercard,Financials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
MCD,MCD,McDonald's,Consumer Discretionary,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
MDLZ,MDLZ,Mondelēz International,Consumer Staples,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
MDT,MDT,Medtronic,Health Care,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
MET,MET,MetLife,Financials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
META,META,Meta,Communication Services,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
MMM,MMM,3M,Industrials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
MO,MO,Altria,Consumer Staples,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
MRK,MRK,Merck,Health Care,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
