date,Daily Top20,Weekly Top20,Weekly Buffer 20/25,Weekly Score50 MADScale,Biweekly Score50 MADScale,Weekly Score50 RegimeState,Weekly Score50 Rotation,Weekly Score50 RangeOsc,Biweekly Score50 RegimeState,Biweekly Score50 Rotation,Biweekly Score50 RangeOsc
2024-07-26,0.9741275445758196,0.9966234249220921,1.0075817056157363,1.1168797396378887,1.1170862872380667,1.1347529240653393,1.1344267689557603,1.1347529240653393,1.1089308955411994,1.1082261723379117,1.1089308955411994
2024-07-29,0.9741275445758196,0.9966234249220921,1.0075817056157363,1.1205089989529695,1.1207162177219183,1.1395117339245446,1.1391842110192825,1.1395117339245446,1.1135814156385373,1.1128737370397122,1.1135814156385373
2024-07-30,0.9741275445758196,0.9966234249220921,1.0075817056157363,1.1173523598320856,1.1175589948351983,1.1361034769904503,1.1357769336996841,1.1361034769904503,1.1102507157707464,1.1095451538245364,1.1102507157707464
2024-07-31,0.9741275445758196,0.9966234249220921,1.0075817056157363,1.118666071411906,1.1188729493632652,1.1378418541665671,1.1375148112246554,1.1378418541665671,1.1119495350624327,1.11124289352021,1.1119495350624327
2024-08-01,0.9741275445758196,0.9966234249220921,1.0075817056157363,1.1224633830228155,1.1226709632213123,1.139495685048698,1.139168166756266,1.139495685048698,1.1135657319651246,1.1128580633332403,1.1135657319651246
2024-08-02,0.9741275445758196,0.9966234249220921,1.0075817056157363,1.10533562978338,1.1055400425000055,1.1252668343261698,1.1249434057454877,1.1252668343261698,1.0996606678409218,1.098961835847435,1.0996606678409218
2024-08-05,0.9741275445758196,0.9966234249220921,1.0075817056157363,1.0703406028888645,1.07053854388023,1.0987874132283115,1.0984715954660786,1.0987874132283115,1.0737838029051945,1.0731014156038177,1.0737838029051945
2024-08-06,0.9741275445758196,0.9966234249220921,1.0075817056157363,1.082430919570775,1.0826310964572037,1.1076259672052307,1.1073076090313543,1.1076259672052307,1.0824212299336264,1.0817333535659173,1.0824212299336264
2024-08-07,0.9741275445758196,0.9966234249220921,1.0075817056157363,1.0877943072199194,1.087995475972176,1.1112059556261202,1.1108865684780145,1.1112059556261202,1.0859197534283989,1.0852296537565198,1.0859197534283989
2024-08-08,0.9741275445758196,0.9966234249220921,1.0075817056157363,1.0843806036590018,1.084581141105798,1.1065870572241339,1.1062689976578148,1.1065870572241339,1.0814059610135898,1.0807187298470993,1.0814059610135898
2024-08-09,0.9741275445758196,0.9966234249220921,1.0075817056157363,1.0917396149988765,1.0919415133676038,1.1121600123527104,1.1118403509859007,1.1121600123527104,1.0868520999840037,1.08616140780789,1.0868520999840037
2024-08-12,0.9741275445758196,0.9966234249220921,1.0075817056157363,1.096967058707456,1.0971699238015298,1.117033783559666,1.1167127213545343,1.117033783559666,1.0916149654100997,1.0909212464432334,1.0916149654100997
