Symbol,YahooTicker,Name,Sector,UniverseType,Status,Bars,FirstDate,LastDate
NVDA,NVDA,Nvidia,Information Technology,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
ORCL,ORCL,Oracle Corporation,Information Technology,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
PEP,PEP,PepsiCo,Consumer Staples,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
PFE,PFE,Pfizer,Health Care,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
PG,PG,Procter & Gamble,Consumer Staples,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
PLTR,PLTR,Palantir Technologies,Information Technology,STATIC_CURRENT_MEMBERSHIP,OK,1378,2020-09-30,2026-03-26
PM,PM,Philip Morris International,Consumer Staples,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
QCOM,QCOM,Qualcomm,Information Technology,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
RTX,RTX,RTX Corporation,Industrials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
SBUX,SBUX,Starbucks,Consumer Discretionary,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
SCHW,SCHW,Charles Schwab Corporation,Financials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
SO,SO,Southern Company,Utilities,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
SPG,SPG,Simon Property Group,Real Estate,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
T,T,AT&T,Communication Services,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
TMO,TMO,Thermo Fisher Scientific,Health Care,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
