Symbol,YahooTicker,Name,Sector,UniverseType,StartDate,EndDate,SnapshotDate,RevisionDate,OldId
SO,SO,Southern Company,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
SPG,SPG,"Simon Property Group, Inc.",,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
T,T,AT&T Inc,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
TGT,TGT,Target Corp.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
TWX,TWX,Time Warner Inc.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
TXN,TXN,Texas Instruments,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
UNH,UNH,UnitedHealth Group Inc.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
UNP,UNP,Union Pacific Corp.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
UPS,UPS,United Parcel Service Inc,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
USB,USB,US Bancorp,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
UTX,UTX,United Technologies Corp,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
V,V,Visa Inc.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
VZ,VZ,Verizon Communications Inc,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
WBA,WBA,Walgreens,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
WFC,WFC,Wells Fargo,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
WMT,WMT,Wal-Mart,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
XOM,XOM,Exxon Mobil Corp,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
AAPL,AAPL,Apple Inc.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
ABBV,ABBV,AbbVie Inc.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
ABT,ABT,Abbott Laboratories,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
ACN,ACN,Accenture plc,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
AIG,AIG,American International Group Inc.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
ALL,ALL,Allstate Corp.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
AMGN,AMGN,Amgen Inc.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
AMZN,AMZN,Amazon.com,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
APA,APA,Apache Corp.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
APC,APC,Anadarko Petroleum Corporation,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
AXP,AXP,American Express Inc.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
BA,BA,Boeing Co.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
BAC,BAC,Bank of America Corp,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
BAX,BAX,Baxter International Inc,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
