StrategyName,RoundtripCostPct,CAGR_gross,CAGR_net,CAGR_drag,AnnualTurnover,Trades,MDD_net,Sharpe_net,FinalNAV_net,AvgTurnover,AvgHoldings,RebalanceCount,RunId,RunStartedAt
Biweekly Score50 Rotation,0.35,0.1187037769599697,0.1014692598488207,0.0172345171111489,8.8752599935474,914,-0.1332250812305806,1.0065927949661744,2.1890752983265567,0.0586387500515022,8.928535480624056,1227,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Daily Top20,0.35,0.1335271327155325,0.1010131434701087,0.0325139892454238,16.640740321722152,4440,-0.169186651221829,0.902743049756639,2.18173737457136,0.0678926810615603,19.576245596376445,1987,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 RangeOsc,0.35,0.1177395038245852,0.1008728699016225,0.0168666339229626,8.691679449142608,914,-0.1325851179321773,1.0076036280585638,2.179485016726445,0.0574258353126103,8.928535480624056,1227,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 RegimeState,0.35,0.1177395038245852,0.1008728699016225,0.0168666339229626,8.691679449142608,914,-0.1325851179321773,1.0076036280585638,2.179485016726445,0.0574258353126103,8.928535480624056,1227,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 Rotation,0.35,0.1177577723691321,0.0992454429487483,0.0185123294203837,9.54777979618998,1054,-0.1330426906779285,0.9851877951519789,2.153502217683082,0.0581530532158557,9.280825364871664,1331,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 RangeOsc,0.35,0.1171165419899988,0.0990304673517907,0.0180860746382081,9.331192643286332,1054,-0.1324025927156612,0.9894537551716698,2.150090396906128,0.0568338769782865,9.280825364871664,1331,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 RegimeState,0.35,0.1171165419899988,0.0990304673517907,0.0180860746382081,9.33119264328633,1054,-0.1324025927156612,0.9894537551716698,2.150090396906128,0.0568338769782865,9.280825364871664,1331,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 MADScale,0.5,0.1509190727579334,0.1119553049218027,0.0389637678361307,13.78508095195243,728,-0.1715659141351154,1.0094603096490284,2.363848713008732,0.0633517947337209,30.46250629089079,1764,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 MADScale,0.5,0.1507049877974327,0.1117168905275061,0.0389880972699265,13.796408691391608,728,-0.1715659141351152,1.0074495716580425,2.3597430609696595,0.0623435882712098,30.540513336688477,1794,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Buffer 20/25,0.5,0.1365681855361464,0.0963190137145491,0.0402491718215973,14.425874157361989,3626,-0.1773001817768011,0.8609704413947936,2.107462640578536,0.0665608042143717,19.54302969300453,1757,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
