AsOfDate,Market,AssetType,Symbol,Name,Sector,CurrentPrice,MedianDailyValue60D,AvgDailyValue20D,RelVolume20D60D,R1M,R3M,R6M,R12M,MA50,MA200,TrendOK,MAD63,DistanceTo52WHigh,FlowScore,FlowAcceleration,MomentumScore,KRPriceSource,KRFlowSource,KRUniverseSource,CountryLabel,CountryAligned,SectorAligned,LiquidityOK,FlowAligned,StructureOK,WatchGrade,InitialPositionCap,Theme,TrendState,TenbaggerScore
2026-04-10,KR,STOCK,290740,액트로,Information Technology,16000.0,5856453300.0,3981331454.0,0.673717906835204,-0.4244604316546763,-0.09090909090909094,2.0131826741996233,1.8622540250447228,23208.4,11588.025,0,0.05405844155844153,-0.4796747967479674,0.3404199083875958,8.86,0.21606019841629226,D:\AI\모멘텀 투자\data\prices_operating_institutional_v1,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1,D:\AI\모멘텀 투자\backtests\kis_operating_universe_candidates_institutional_v1.csv,Korea,1,1,1,1,1,Exit Watch,0.0,Information Technology,TREND_WEAKENING,1.3585235170189411
2026-04-10,KR,STOCK,095610,테스,Information Technology,82500.0,22276144750.0,21232575400.0,0.7010718452924735,0.27708978328173384,0.4248704663212435,0.9097222222222223,2.80184331797235,66878.0,44754.5,1,0.03858832903860121,0.0,0.08242331553586914,1.6999999999999993,0.25404110670346414,D:\AI\모멘텀 투자\data\prices_operating_institutional_v1,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1,D:\AI\모멘텀 투자\backtests\kis_operating_universe_candidates_institutional_v1.csv,Korea,1,1,1,1,1,Starter,0.04,Information Technology,LONG_UPTREND,1.2665722131923516
2026-04-10,KR,STOCK,099320,쎄트렉아이,Industrials,150800.0,40997270550.0,22526706110.0,0.47176199914405653,-0.275,0.5064935064935066,1.1886792452830188,2.392575928008999,180336.0,91859.25,0,0.05312454757916063,-0.2953271028037383,0.06539414275748866,1.7399999999999984,0.23301675278368933,D:\AI\모멘텀 투자\data\prices_operating_institutional_v1,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1,D:\AI\모멘텀 투자\backtests\kis_operating_universe_candidates_institutional_v1.csv,Korea,1,1,1,1,1,Exit Watch,0.0,Industrials,TREND_WEAKENING,1.184012731937438
2026-04-10,KR,STOCK,080220,제주반도체,Information Technology,41100.0,88359605425.0,46191124600.0,0.32051606953143064,-0.02375296912114011,0.3173076923076923,1.2719734660033168,2.0603127326880117,42307.0,25017.1,0,0.02979520011980985,-0.19253438113948917,0.03925236452386931,1.02,0.22102407505166927,D:\AI\모멘텀 투자\data\prices_operating_institutional_v1,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1,D:\AI\모멘텀 투자\backtests\kis_operating_universe_candidates_institutional_v1.csv,Korea,1,1,1,1,1,Exit Watch,0.0,Information Technology,TREND_WEAKENING,1.07026543465026
2026-04-10,KR,STOCK,056080,유진로봇,Industrials,23650.0,30838650400.0,9533062967.5,0.1552755607373303,-0.18588640275387258,0.6423611111111112,1.1877890841813135,2.2176870748299318,30859.0,17383.25,0,0.044036697247706424,-0.48249452954048144,0.023196041813951948,0.7300000000000004,0.2388512982507348,D:\AI\모멘텀 투자\data\prices_operating_institutional_v1,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1,D:\AI\모멘텀 투자\backtests\kis_operating_universe_candidates_institutional_v1.csv,Korea,1,1,1,1,1,Exit Watch,0.0,Industrials,TREND_WEAKENING,1.068687396036628
2026-04-10,KR,STOCK,214370,케어젠,Health Care,85600.0,15554562250.0,14279303430.0,0.7579306405621745,-0.31244979919678717,0.26627218934911245,0.36959999999999993,2.465587044534413,114418.0,73147.75,0,0.0390183256243839,-0.42971352431712195,0.02907874639208972,0.5300000000000002,0.15534727646806473,D:\AI\모멘텀 투자\data\prices_operating_institutional_v1,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1,D:\AI\모멘텀 투자\backtests\kis_operating_universe_candidates_institutional_v1.csv,Korea,1,1,1,1,1,Exit Watch,0.0,Health Care,TREND_WEAKENING,0.9603668736301839
2026-04-10,KR,STOCK,006400,삼성SDI,Materials,481000.0,341755555250.0,286324805350.0,0.6248189199281404,0.2024999999999999,0.77818853974122,1.346341463414634,1.412236710130391,405700.0,285440.5,1,0.02624349256301528,0.0,0.07937636088806545,1.2000000000000028,0.24007658574320861,D:\AI\모멘텀 투자\data\prices_operating_institutional_v1,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1,D:\AI\모멘텀 투자\backtests\kis_operating_universe_candidates_institutional_v1.csv,Korea,1,0,1,1,1,Starter,0.04,Materials,LONG_UPTREND,0.9211316528631895
2026-03-27,US,STOCK,LRCX,Lam Research,Information Technology,211.41000366210935,2435851609.8449707,2433207741.078415,0.9288489169899825,-0.11463886091220366,0.1936124219390205,0.654661256689347,1.7969401339284405,227.27572021484374,155.49763301849364,0,0.0227142155406459,-0.1515820690977019,0.09085159007216063,0.0,0.14773558954793942,,,,US,0,0,1,0,1,Exit Watch,0.0,Information Technology,TREND_WEAKENING,0.861015562775547
2026-03-27,US,STOCK,APA,Apache Corp.,nan,44.38999938964844,212869556.24465942,378186683.0576134,1.3230435741084807,0.5254295122935828,0.8395779106577557,0.8617016902479688,1.2125187496803358,30.64206729888916,24.241163330078123,1,0.024768816155849693,0.0,0.3912277915204476,0.3230435741084807,0.21449338316662525,,,,US,0,0,1,0,1,Watch,0.02,nan,LONG_UPTREND,0.8331178588192458
2026-04-10,KR,STOCK,008350,남선알미늄,Materials,2205.0,6782943075.0,117749855164.45,2.1273887815595933,0.6742596810933941,0.7362204724409449,1.0210815765352885,0.7267032106499609,1448.46,1224.07,1,0.022545089573062782,0.0,0.01872211426401543,0.54,0.20184579826038526,D:\AI\모멘텀 투자\data\prices_operating_institutional_v1,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1,D:\AI\모멘텀 투자\backtests\kis_operating_universe_candidates_institutional_v1.csv,Korea,1,0,1,1,1,Add-on,0.06,Materials,LONG_UPTREND,0.7836413098883785
